,homeTeam,awayTeam,finalHomeScore,finalAwayScore,solHomePred,solAwayPred,solPoints,philHomePred,philAwayPred,philPoints,jonnyHomePred,jonnyAwayPred,jonnyPoints,lilaHomePred,lilaAwayPred,lilaPoints,jacobHomePred,jacobAwayPred,jacobPoints,samHomePred,samAwayPred,samPoints,weekNum,solBanker,solInsurance,philBanker,philInsurance,jonnyBanker,jonnyInsurance,samBanker,samInsurance,jacobBanker,jacobInsurance,lilaBanker,lilaInsurance
62cc1820-74f2-482d-8107-930c7664637c,Everton,Wolves,3,2,1,1,-10,1,1,-30,1,1,-10,2,2,-10,2,1,15,1,2,-10,4,False,False,True,False,False,False,False,False,False,True,False,False
81a84bf7-79f7-47ca-8997-6f69ed7cbe06,Arsenal,Tottenham,2,2,3,1,0,2,2,30,2,1,0,2,1,0,2,0,-10,3,1,-10,4,False,True,False,True,False,True,False,False,False,False,False,True
9699382c-8d61-4633-af94-ac37e42538a3,Liverpool,Newcastle,3,1,3,1,30,4,1,10,4,0,20,4,1,10,3,0,20,5,1,10,5,False,False,False,False,True,False,False,False,True,False,False,False
5631e549-4af9-4047-874c-8d2229452cff,Brighton,Burnley,1,1,1,1,30,1,1,30,1,1,30,1,1,30,1,1,30,1,1,30,5,False,False,False,False,False,False,False,False,False,False,False,False
75e0ce17-f5ed-4ddf-ad18-ead36c374abf,Man Utd,Leicester,1,0,2,2,-10,2,2,-10,2,2,-10,2,2,-10,1,1,-10,1,1,0,5,False,False,False,False,False,False,False,True,False,False,False,False
dc98c453-dc47-4fa4-b23e-de0ad898f6dd,Sheffield United,Southampton,0,1,0,0,-10,1,2,15,1,0,-10,1,1,-10,2,1,-10,2,1,-10,5,False,False,False,False,False,False,False,False,False,False,False,False
a6f6d2ce-b5d7-4cdd-ad97-f328b5c00901,Tottenham,Crystal Pal,4,0,2,0,10,1,1,-10,2,1,10,2,2,-10,0,1,-10,1,1,-10,5,False,False,False,False,False,False,False,False,False,False,False,False
5909d458-7756-42ef-ae47-4b6e0b90faf6,Wolves,Chelsea,2,5,1,2,10,2,2,0,1,1,-10,1,2,10,1,2,10,1,1,-10,5,False,True,False,True,False,False,False,False,False,False,False,False
95eac3d0-a3ba-4357-ab73-e5da6cfee3e4,Norwich City,Man City,3,2,1,4,-10,1,3,-10,1,4,-10,0,3,-20,0,2,-10,0,3,-20,5,False,False,False,False,False,False,True,False,False,False,True,False
4f2e6855-2161-4428-bf94-9f7f6637f356,Bournemouth,Everton,3,1,1,2,-10,1,2,-10,2,1,10,1,2,-10,2,1,10,2,1,10,5,False,False,False,False,False,True,False,False,False,False,False,False
2efebd87-e7e8-4fed-9a81-5dce9bf0b29b,Watford,Arsenal,2,2,1,2,-30,1,2,-30,1,2,-10,0,3,0,0,1,-10,1,3,-10,5,True,False,True,False,False,False,False,False,False,False,False,True
6b123e3b-8d9f-43de-b752-9568fbf34098,Aston Villa,West Ham,0,0,1,1,20,1,2,-10,1,1,20,0,2,-10,2,1,0,1,2,-10,5,False,False,False,False,False,False,False,False,False,True,False,False
